"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","06/04/2011","13:14:33","mail spooler","Exception reading response;
  nested exception is:
	javax.net.ssl.SSLException: Unrecognized SSL message, plaintext connection?"
"ERROR","web-0","06/04/2011","13:14:43","mail spooler","Exception reading response;
  nested exception is:
	javax.net.ssl.SSLException: Connection has been shutdown: javax.net.ssl.SSLException: Unrecognized SSL message, plaintext connection?"
"ERROR","web-0","06/04/2011","13:15:44","mail spooler","Exception reading response;
  nested exception is:
	javax.net.ssl.SSLException: Connection has been shutdown: javax.net.ssl.SSLException: Unrecognized SSL message, plaintext connection?"
"ERROR","web-0","06/04/2011","13:16:44","mail spooler","Exception reading response;
  nested exception is:
	javax.net.ssl.SSLException: Connection has been shutdown: javax.net.ssl.SSLException: Unrecognized SSL message, plaintext connection?"
"ERROR","web-0","06/04/2011","13:17:44","mail spooler","Exception reading response;
  nested exception is:
	javax.net.ssl.SSLException: Connection has been shutdown: javax.net.ssl.SSLException: Unrecognized SSL message, plaintext connection?"
"ERROR","web-0","06/04/2011","13:18:44","mail spooler","Exception reading response;
  nested exception is:
	javax.net.ssl.SSLException: Connection has been shutdown: javax.net.ssl.SSLException: Unrecognized SSL message, plaintext connection?"
"ERROR","web-0","06/04/2011","13:19:42","mail spooler","Exception reading response;
  nested exception is:
	javax.net.ssl.SSLException: Connection has been shutdown: javax.net.ssl.SSLException: Unrecognized SSL message, plaintext connection?"
"ERROR","web-0","06/04/2011","13:19:44","mail spooler","Exception reading response;
  nested exception is:
	javax.net.ssl.SSLException: Connection has been shutdown: javax.net.ssl.SSLException: Unrecognized SSL message, plaintext connection?"
"ERROR","web-0","06/04/2011","13:19:52","mail spooler","Exception reading response;
  nested exception is:
	javax.net.ssl.SSLException: Connection has been shutdown: javax.net.ssl.SSLException: Unrecognized SSL message, plaintext connection?"
"ERROR","web-0","06/04/2011","13:20:52","mail spooler","Exception reading response;
  nested exception is:
	javax.net.ssl.SSLException: Connection has been shutdown: javax.net.ssl.SSLException: Unrecognized SSL message, plaintext connection?"
"ERROR","web-0","06/04/2011","13:21:52","mail spooler","Exception reading response;
  nested exception is:
	javax.net.ssl.SSLException: Connection has been shutdown: javax.net.ssl.SSLException: Unrecognized SSL message, plaintext connection?"
"ERROR","web-0","06/04/2011","13:22:01","mail spooler","Exception reading response;
  nested exception is:
	javax.net.ssl.SSLException: Connection has been shutdown: javax.net.ssl.SSLException: Unrecognized SSL message, plaintext connection?"
"ERROR","web-0","06/04/2011","13:22:11","mail spooler","Exception reading response;
  nested exception is:
	javax.net.ssl.SSLException: Connection has been shutdown: javax.net.ssl.SSLException: Unrecognized SSL message, plaintext connection?"
